x,y,n
65,9,1
66,9,2
67,9,3
68,9,4
69,9,5
70,9,6
71,9,7
72,9,8
73,9,9
74,9,10
62,10,1
63,10,2
64,10,3
65,10,4
74,10,5
75,10,6
76,10,7
59,11,8
60,11,9
61,11,10
77,11,1
57,12,2
58,12,3
59,12,4
54,13,5
55,13,6
56,13,7
52,14,8
53,14,9
70,14,10
71,14,1
72,14,2
73,14,3
74,14,4
75,14,5
76,14,6
77,14,7
78,14,8
79,14,9
80,14,10
81,14,1
82,14,2
83,14,3
50,15,4
51,15,5
62,15,6
63,15,7
64,15,8
65,15,9
66,15,10
67,15,1
68,15,2
69,15,3
83,15,4
84,15,5
85,15,6
48,16,7
49,16,8
76,16,9
85,16,10
86,16,1
47,17,2
48,17,3
76,17,4
86,17,5
87,17,6
45,18,7
46,18,8
76,18,9
77,18,10
78,18,1
80,18,2
81,18,3
87,18,4
88,18,5
44,19,6
45,19,7
77,19,8
81,19,9
88,19,10
89,19,1
43,20,2
77,20,3
82,20,4
89,20,5
41,21,6
42,21,7
77,21,8
82,21,9
90,21,10
91,21,1
40,22,2
41,22,3
78,22,4
83,22,5
91,22,6
39,23,7
40,23,8
78,23,9
83,23,10
92,23,1
38,24,2
39,24,3
78,24,4
84,24,5
92,24,6
93,24,7
94,24,8
38,25,9
78,25,10
79,25,1
84,25,2
94,25,3
95,25,4
37,26,5
79,26,6
84,26,7
85,26,8
92,26,9
96,26,10
36,27,1
79,27,2
85,27,3
92,27,4
96,27,5
97,27,6
35,28,7
36,28,8
80,28,9
81,28,10
85,28,1
86,28,2
92,28,3
97,28,4
98,28,5
34,29,6
35,29,7
81,29,8
86,29,9
92,29,10
93,29,1
98,29,2
33,30,3
34,30,4
81,30,5
86,30,6
93,30,7
99,30,8
33,31,9
86,31,10
93,31,1
99,31,2
100,31,3
32,32,4
86,32,5
93,32,6
100,32,7
31,33,8
32,33,9
93,33,10
94,33,1
101,33,2
31,34,3
94,34,4
101,34,5
102,34,6
30,35,7
86,35,8
95,35,9
102,35,10
30,36,1
81,36,2
82,36,3
85,36,4
86,36,5
87,36,6
95,36,7
102,36,8
103,36,9
29,37,10
80,37,1
81,37,2
84,37,3
87,37,4
95,37,5
96,37,6
103,37,7
28,38,8
29,38,9
79,38,10
80,38,1
87,38,2
88,38,3
96,38,4
104,38,5
28,39,6
78,39,7
79,39,8
88,39,9
96,39,10
97,39,1
104,39,2
105,39,3
27,40,4
28,40,5
77,40,6
78,40,7
88,40,8
89,40,9
97,40,10
105,40,1
27,41,2
76,41,3
77,41,4
89,41,5
98,41,6
105,41,7
106,41,8
27,42,9
75,42,10
76,42,1
89,42,2
90,42,3
99,42,4
106,42,5
26,43,6
74,43,7
75,43,8
90,43,9
91,43,10
99,43,1
106,43,2
107,43,3
26,44,4
73,44,5
74,44,6
91,44,7
99,44,8
100,44,9
107,44,10
26,45,1
72,45,2
73,45,3
91,45,4
92,45,5
100,45,6
108,45,7
25,46,8
71,46,9
72,46,10
92,46,1
100,46,2
101,46,3
108,46,4
25,47,5
70,47,6
71,47,7
92,47,8
101,47,9
109,47,10
24,48,1
25,48,2
69,48,3
70,48,4
93,48,5
101,48,6
109,48,7
24,49,8
68,49,9
69,49,10
93,49,1
102,49,2
109,49,3
110,49,4
24,50,5
67,50,6
93,50,7
94,50,8
102,50,9
103,50,10
110,50,1
24,51,2
66,51,3
94,51,4
110,51,5
111,51,6
23,52,7
65,52,8
95,52,9
111,52,10
23,53,1
64,53,2
95,53,3
111,53,4
23,54,5
63,54,6
96,54,7
112,54,8
22,55,9
62,55,10
96,55,1
112,55,2
22,56,3
60,56,4
61,56,5
96,56,6
97,56,7
112,56,8
22,57,9
58,57,10
59,57,1
60,57,2
97,57,3
112,57,4
113,57,5
22,58,6
55,58,7
56,58,8
57,58,9
97,58,10
113,58,1
21,59,2
53,59,3
54,59,4
55,59,5
97,59,6
98,59,7
113,59,8
21,60,9
51,60,10
52,60,1
98,60,2
113,60,3
21,61,4
50,61,5
51,61,6
98,61,7
113,61,8
21,62,9
49,62,10
50,62,1
61,62,2
98,62,3
99,62,4
114,62,5
20,63,6
48,63,7
49,63,8
61,63,9
62,63,10
82,63,1
83,63,2
84,63,3
85,63,4
99,63,5
114,63,6
