x,y,n
84,21,1
94,21,2
95,21,3
96,21,4
97,21,5
98,21,6
99,21,7
100,21,8
101,21,9
102,21,10
103,21,1
104,21,2
105,21,3
106,21,4
107,21,5
108,21,6
109,21,7
110,21,8
111,21,9
112,21,10
113,21,1
114,21,2
115,21,3
83,22,4
84,22,5
85,22,6
86,22,7
87,22,8
88,22,9
89,22,10
90,22,1
91,22,2
92,22,3
93,22,4
94,22,5
115,22,6
116,22,7
117,22,8
82,23,9
83,23,10
118,23,1
119,23,2
81,24,3
120,24,4
121,24,5
122,24,6
123,24,7
124,24,8
125,24,9
129,24,10
130,24,1
80,25,2
81,25,3
125,25,4
131,25,5
79,26,6
80,26,7
126,26,8
131,26,9
132,26,10
79,27,1
114,27,2
127,27,3
128,27,4
132,27,5
133,27,6
79,28,7
110,28,8
111,28,9
112,28,10
113,28,1
129,28,2
133,28,3
134,28,4
78,29,5
108,29,6
109,29,7
110,29,8
134,29,9
77,30,10
78,30,1
101,30,2
102,30,3
103,30,4
104,30,5
105,30,6
106,30,7
107,30,8
134,30,9
76,31,10
77,31,1
100,31,2
101,31,3
134,31,4
135,31,5
70,32,6
71,32,7
76,32,8
99,32,9
100,32,10
130,32,1
131,32,2
135,32,3
136,32,4
67,33,5
68,33,6
69,33,7
75,33,8
98,33,9
99,33,10
129,33,1
137,33,2
138,33,3
65,34,4
66,34,5
67,34,6
74,34,7
98,34,8
108,34,9
127,34,10
128,34,1
138,34,2
139,34,3
64,35,4
65,35,5
73,35,6
74,35,7
97,35,8
98,35,9
108,35,10
123,35,1
124,35,2
125,35,3
126,35,4
139,35,5
140,35,6
63,36,7
64,36,8
71,36,9
72,36,10
73,36,1
97,36,2
108,36,3
140,36,4
141,36,5
62,37,6
63,37,7
71,37,8
96,37,9
97,37,10
109,37,1
141,37,2
142,37,3
61,38,4
62,38,5
75,38,6
76,38,7
77,38,8
78,38,9
95,38,10
96,38,1
109,38,2
142,38,3
143,38,4
60,39,5
61,39,6
77,39,7
78,39,8
94,39,9
95,39,10
110,39,1
143,39,2
59,40,3
60,40,4
77,40,5
78,40,6
92,40,7
93,40,8
110,40,9
143,40,10
59,41,1
77,41,2
90,41,3
91,41,4
110,41,5
143,41,6
144,41,7
58,42,8
77,42,9
89,42,10
110,42,1
119,42,2
120,42,3
121,42,4
122,42,5
123,42,6
144,42,7
145,42,8
146,42,9
147,42,10
148,42,1
57,43,2
76,43,3
77,43,4
88,43,5
110,43,6
118,43,7
119,43,8
123,43,9
148,43,10
149,43,1
150,43,2
56,44,3
57,44,4
75,44,5
76,44,6
87,44,7
88,44,8
110,44,9
117,44,10
118,44,1
123,44,2
150,44,3
151,44,4
56,45,5
74,45,6
75,45,7
87,45,8
110,45,9
116,45,10
117,45,1
123,45,2
151,45,3
55,46,4
73,46,5
74,46,6
87,46,7
110,46,8
116,46,9
123,46,10
152,46,1
55,47,2
72,47,3
73,47,4
87,47,5
110,47,6
116,47,7
123,47,8
152,47,9
153,47,10
54,48,1
72,48,2
87,48,3
110,48,4
115,48,5
116,48,6
123,48,7
153,48,8
154,48,9
155,48,10
54,49,1
72,49,2
87,49,3
109,49,4
115,49,5
123,49,6
124,49,7
155,49,8
156,49,9
54,50,10
71,50,1
72,50,2
86,50,3
87,50,4
109,50,5
115,50,6
124,50,7
156,50,8
157,50,9
53,51,10
54,51,1
71,51,2
86,51,3
108,51,4
114,51,5
115,51,6
124,51,7
138,51,8
139,51,9
140,51,10
141,51,1
142,51,2
157,51,3
53,52,4
71,52,5
84,52,6
85,52,7
107,52,8
114,52,9
124,52,10
137,52,1
143,52,2
144,52,3
157,52,4
158,52,5
52,53,6
53,53,7
70,53,8
83,53,9
84,53,10
106,53,1
114,53,2
124,53,3
125,53,4
136,53,5
144,53,6
145,53,7
158,53,8
51,54,9
52,54,10
70,54,1
82,54,2
83,54,3
105,54,4
106,54,5
113,54,6
125,54,7
136,54,8
145,54,9
158,54,10
51,55,1
69,55,2
70,55,3
82,55,4
104,55,5
113,55,6
125,55,7
126,55,8
137,55,9
145,55,10
159,55,1
50,56,2
69,56,3
81,56,4
103,56,5
113,56,6
126,56,7
127,56,8
137,56,9
138,56,10
146,56,1
159,56,2
160,56,3
50,57,4
69,57,5
80,57,6
81,57,7
98,57,8
99,57,9
100,57,10
102,57,1
103,57,2
113,57,3
128,57,4
129,57,5
138,57,6
139,57,7
146,57,8
147,57,9
160,57,10
50,58,1
68,58,2
79,58,3
80,58,4
96,58,5
97,58,6
98,58,7
101,58,8
129,58,9
130,58,10
139,58,1
140,58,2
148,58,3
161,58,4
50,59,5
68,59,6
79,59,7
94,59,8
95,59,9
130,59,10
141,59,1
142,59,2
149,59,3
150,59,4
151,59,5
152,59,6
153,59,7
154,59,8
161,59,9
162,59,10
50,60,1
67,60,2
78,60,3
93,60,4
94,60,5
130,60,6
142,60,7
143,60,8
154,60,9
155,60,10
162,60,1
163,60,2
50,61,3
67,61,4
77,61,5
78,61,6
85,61,7
91,61,8
92,61,9
129,61,10
130,61,1
143,61,2
155,61,3
156,61,4
163,61,5
164,61,6
49,62,7
66,62,8
67,62,9
76,62,10
77,62,1
85,62,2
91,62,3
129,62,4
144,62,5
156,62,6
165,62,7
50,63,8
66,63,9
73,63,10
74,63,1
75,63,2
76,63,3
85,63,4
90,63,5
91,63,6
145,63,7
156,63,8
166,63,9
49,64,10
50,64,1
66,64,2
73,64,3
85,64,4
90,64,5
146,64,6
156,64,7
166,64,8
167,64,9
49,65,10
66,65,1
72,65,2
84,65,3
85,65,4
89,65,5
147,65,6
156,65,7
167,65,8
49,66,9
65,66,10
72,66,1
83,66,2
84,66,3
87,66,4
88,66,5
148,66,6
156,66,7
157,66,8
168,66,9
48,67,10
49,67,1
65,67,2
71,67,3
72,67,4
83,67,5
149,67,6
157,67,7
158,67,8
168,67,9
46,68,10
47,68,1
