hhid14_9,age,marstat,sex,pidlink,dl01f,dl06,sw00,sw01,sw03,tk01a,tr11,kk01,kr03,female,fo01
001060000,59,2,1,001060001,M,1,1,3,4,0,3,2,1,0,1
001060004,28,2,3,001060004,M,1,3,2,2,1,2,2,0,1,0
001060000,39,2,3,001060007,M,1,2,3,3,1,4,2,1,1,0
001060000,16,1,3,001060008,M,2,3,3,3,1,3,2,1,1,0
001060004,30,2,1,001065102,M,2,2,2,2,1,3,2,0,0,0
001080003,36,2,1,001080003,M,1,3,2,2,1,2,3,1,0,0
001080000,26,1,1,001080008,M,1,3,2,3,1,4,3,0,0,1
001080003,40,2,3,001080012,M,NA,3,2,2,1,3,3,1,1,0
001220000,55,2,1,001220001,M,1,2,4,NA,1,3,2,1,0,NA
001220000,54,2,3,001220002,M,1,3,3,2,1,3,3,1,1,-1
001224100,34,2,1,001220003,M,4,1,2,2,1,4,3,1,0,0
001220000,28,1,1,001220006,M,4,2,2,3,1,3,2,1,0,1
001224200,24,1,1,001220008,M,4,2,1,5,1,4,3,0,0,4
001220009,23,1,1,001220009,M,4,2,3,5,0,3,3,0,0,2
001224100,32,2,3,001220011,M,1,2,2,3,1,4,3,1,1,1
001224100,15,1,3,001220013,M,2,4,3,5,1,3,2,1,1,2
001240000,62,5,3,001240002,M,1,3,3,NA,0,3,2,1,1,NA
001240000,40,5,1,001240003,M,1,3,3,3,0,3,2,1,0,0
001240000,35,2,1,001240004,M,NA,2,3,NA,1,2,2,1,0,NA
001240005,37,2,3,001240005,M,NA,3,2,3,1,3,2,1,1,1
001240000,30,1,3,001240007,M,4,4,2,3,0,3,3,1,1,1
001240009,24,2,3,001240009,M,2,3,3,3,1,4,4,1,1,0
001240000,24,1,1,001240012,M,4,4,3,4,1,4,4,1,0,1
001240000,17,1,3,001240014,M,3,2,3,4,0,4,2,1,1,1
001240000,17,1,1,001240016,M,3,3,3,4,1,2,2,1,0,1
001240000,16,1,3,001240017,M,2,4,3,4,0,4,4,1,1,1
001240000,25,1,3,001240024,D,4,4,4,6,1,3,4,1,1,2
001240000,31,2,3,001240025,M,NA,3,3,4,0,3,3,1,1,1
001240005,50,2,1,001245101,M,1,3,3,3,1,4,2,1,0,0
001240009,30,2,1,001245201,M,2,2,3,4,1,3,3,1,0,1
001250000,34,2,1,001250003,M,1,5,2,4,1,3,2,1,0,2
001250000,33,2,3,001250008,A,2,5,2,5,0,3,3,1,1,3
001290000,58,2,1,001290001,M,1,2,1,2,0,3,2,1,0,1
001290005,50,2,3,001290002,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
001290003,27,2,3,001290003,M,1,2,2,2,1,3,2,1,1,0
001290004,29,2,1,001290004,M,1,3,1,NA,1,1,2,0,0,NA
001290005,25,2,1,001290005,M,1,2,2,2,0,3,2,0,0,0
001290000,16,1,1,001290008,M,2,3,2,3,0,3,2,1,0,1
001290003,27,2,1,001295101,M,1,2,3,3,1,3,3,1,0,0
001290004,22,2,3,001295202,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA
001290005,21,2,3,001295304,,1,NA,NA,NA,0,NA,2,0,1,NA
002010000,67,5,3,002010002,M,NA,4,1,1,1,3,2,1,1,0
002010000,46,2,3,002010003,M,1,4,5,5,1,3,2,1,1,0
002010000,56,2,1,002010004,M,2,4,3,4,1,4,2,1,0,1
002010000,26,1,1,002010005,M,4,4,2,3,1,3,3,1,0,1
002010006,24,2,3,002010006,M,1,4,3,6,1,4,3,0,1,3
002010008,19,1,3,002010008,M,2,4,3,4,1,3,3,0,1,1
002010000,16,1,1,002010011,M,3,3,3,4,0,3,2,1,0,1
002010006,24,2,1,002015101,M,2,3,3,4,1,3,2,0,0,1
002020000,42,2,1,002020001,M,1,3,2,2,1,3,2,1,0,0
002020000,22,2,3,002020011,M,2,2,3,4,0,3,4,1,1,1
002040000,68,5,3,002030002,M,NA,2,1,1,0,3,1,1,1,0
002040000,46,2,1,002040001,M,1,3,3,3,1,3,2,1,0,0
002040000,45,2,3,002040002,,NA,NA,NA,NA,1,NA,3,1,1,NA
002044100,28,2,3,002040003,M,1,2,3,6,0,3,3,1,1,3
002040000,25,1,3,002040004,M,4,4,2,3,0,4,2,1,1,1
002040006,20,1,3,002040006,M,2,3,3,4,1,3,3,0,1,1
002040000,16,1,1,002040007,M,3,3,2,2,1,4,4,1,0,0
002044100,35,2,1,002044102,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
002050000,28,2,1,002050003,M,1,2,2,2,1,3,4,0,0,0
002050000,26,2,3,002050010,M,1,2,2,2,1,4,3,0,1,0
002060000,40,2,1,002060002,M,NA,3,1,2,1,3,3,1,0,1
002060004,34,2,3,002060004,M,NA,2,3,3,0,3,2,1,1,0
002060000,33,2,3,002060006,M,1,4,3,3,1,3,2,1,1,0
002060000,15,1,1,002060007,M,2,3,3,4,1,3,1,1,0,1
002060004,52,2,1,002065101,M,3,2,2,3,1,3,1,1,0,1
002114300,41,2,1,002110006,M,NA,3,1,NA,1,4,2,1,0,NA
002114300,39,2,3,002110007,M,1,3,2,1,0,3,2,1,1,-1
002114200,18,1,1,002110009,,4,NA,NA,NA,0,NA,3,1,0,NA
002114300,15,1,1,002114304,M,3,3,1,1,0,1,2,1,0,0
