unit_id,property,district,loc_x,loc_y,region,ref_year,age,dist_to_mrt,price_median
1,EMERALD GARDEN,1,29476.90322,29306.37018,CCR,2015,18,0.22,4.05
2,EMERALD GARDEN,1,29476.90322,29306.37018,CCR,2015,18,0.22,4.19
3,EMERALD GARDEN,1,29476.90322,29306.37018,CCR,2015,18,0.22,4.13
4,EMERALD GARDEN,1,29476.90322,29306.37018,CCR,2016,19,0.22,4.01
5,EMERALD GARDEN,1,29476.90322,29306.37018,CCR,2017,20,0.22,3.79
6,EMERALD GARDEN,1,29476.90322,29306.37018,CCR,2016,19,0.22,4.05
7,EMERALD GARDEN,1,29476.90322,29306.37018,CCR,2017,20,0.22,3.81
8,EMERALD GARDEN,1,29476.90322,29306.37018,CCR,2015,18,0.22,4.19
9,EMERALD GARDEN,1,29476.90322,29306.37018,CCR,2017,20,0.22,3.81
10,EMERALD GARDEN,1,29476.90322,29306.37018,CCR,2016,19,0.22,4.07
11,EMERALD GARDEN,1,29476.90322,29306.37018,CCR,2016,19,0.22,3.77
12,EMERALD GARDEN,1,29476.90322,29306.37018,CCR,2017,20,0.22,3.8
13,MARINA BAY RESIDENCES,1,30414.934,29129.97991,CCR,2015,6,0.21,6.02
14,MARINA BAY RESIDENCES,1,30414.934,29129.97991,CCR,2015,6,0.21,6.16
15,MARINA BAY RESIDENCES,1,30414.934,29129.97991,CCR,2015,6,0.21,6.05
16,MARINA BAY RESIDENCES,1,30414.934,29129.97991,CCR,2017,8,0.21,5.91
17,MARINA BAY RESIDENCES,1,30414.934,29129.97991,CCR,2016,7,0.21,5.91
18,MARINA BAY RESIDENCES,1,30414.934,29129.97991,CCR,2016,7,0.21,5.84
19,MARINA BAY RESIDENCES,1,30414.934,29129.97991,CCR,2017,8,0.21,5.67
20,MARINA BAY RESIDENCES,1,30414.934,29129.97991,CCR,2017,8,0.21,5.66
21,MARINA BAY RESIDENCES,1,30414.934,29129.97991,CCR,2016,7,0.21,5.63
22,MARINA BAY RESIDENCES,1,30414.934,29129.97991,CCR,2017,8,0.21,5.52
23,MARINA BAY RESIDENCES,1,30414.934,29129.97991,CCR,2016,7,0.21,5.92
24,MARINA BAY RESIDENCES,1,30414.934,29129.97991,CCR,2015,6,0.21,5.86
25,MARINA BAY SUITES,1,30092.01312,29204.92556,CCR,2015,3,0.07,4.61
26,MARINA BAY SUITES,1,30092.01312,29204.92556,CCR,2015,3,0.07,4.72
27,MARINA BAY SUITES,1,30092.01312,29204.92556,CCR,2017,5,0.07,4.27
28,MARINA BAY SUITES,1,30092.01312,29204.92556,CCR,2016,4,0.07,4.29
29,MARINA BAY SUITES,1,30092.01312,29204.92556,CCR,2016,4,0.07,4.37
30,MARINA BAY SUITES,1,30092.01312,29204.92556,CCR,2017,5,0.07,4.07
31,MARINA BAY SUITES,1,30092.01312,29204.92556,CCR,2017,5,0.07,4.48
32,MARINA BAY SUITES,1,30092.01312,29204.92556,CCR,2016,4,0.07,4.27
33,MARINA BAY SUITES,1,30092.01312,29204.92556,CCR,2017,5,0.07,4.21
34,MARINA BAY SUITES,1,30092.01312,29204.92556,CCR,2016,4,0.07,4.29
35,THE SAIL @ MARINA BAY,1,30135.167,29248.4739,CCR,2015,8,0.11,5.69
36,THE SAIL @ MARINA BAY,1,30135.167,29248.4739,CCR,2015,8,0.11,5.81
37,THE SAIL @ MARINA BAY,1,30135.167,29248.4739,CCR,2017,10,0.11,5.25
38,THE SAIL @ MARINA BAY,1,30135.167,29248.4739,CCR,2016,9,0.11,5.7
39,THE SAIL @ MARINA BAY,1,30135.167,29248.4739,CCR,2016,9,0.11,5.33
40,THE SAIL @ MARINA BAY,1,30135.167,29248.4739,CCR,2015,8,0.11,5.57
41,THE SAIL @ MARINA BAY,1,30135.167,29248.4739,CCR,2016,9,0.11,5.34
42,THE SAIL @ MARINA BAY,1,30135.167,29248.4739,CCR,2016,9,0.11,5.57
43,THE SAIL @ MARINA BAY,1,30135.167,29248.4739,CCR,2017,10,0.11,5.24
44,THE SAIL @ MARINA BAY,1,30135.167,29248.4739,CCR,2015,8,0.11,5.6
45,THE SAIL @ MARINA BAY,1,30135.167,29248.4739,CCR,2017,10,0.11,4.92
46,THE SAIL @ MARINA BAY,1,30135.167,29248.4739,CCR,2017,10,0.11,5.14
47,76 SHENTON,2,29357.66127,28446.35265,CCR,2015,2,0.24,5.61
48,76 SHENTON,2,29357.66127,28446.35265,CCR,2015,2,0.24,5.24
49,76 SHENTON,2,29357.66127,28446.35265,CCR,2015,2,0.24,5.91
50,76 SHENTON,2,29357.66127,28446.35265,CCR,2017,4,0.24,5.41
51,76 SHENTON,2,29357.66127,28446.35265,CCR,2017,4,0.24,5.43
52,76 SHENTON,2,29357.66127,28446.35265,CCR,2016,3,0.24,5.74
53,76 SHENTON,2,29357.66127,28446.35265,CCR,2016,3,0.24,5.29
54,76 SHENTON,2,29357.66127,28446.35265,CCR,2017,4,0.24,5.83
55,76 SHENTON,2,29357.66127,28446.35265,CCR,2016,3,0.24,5.57
56,76 SHENTON,2,29357.66127,28446.35265,CCR,2017,4,0.24,5.29
57,76 SHENTON,2,29357.66127,28446.35265,CCR,2016,3,0.24,5.51
58,76 SHENTON,2,29357.66127,28446.35265,CCR,2015,2,0.24,5.92
59,ALTEZ,2,29233.36163,28553.80944,CCR,2015,2,0.22,6.62
60,ALTEZ,2,29233.36163,28553.80944,CCR,2015,2,0.22,6.19
61,ALTEZ,2,29233.36163,28553.80944,CCR,2015,2,0.22,6.78
62,ALTEZ,2,29233.36163,28553.80944,CCR,2016,3,0.22,6.33
63,ALTEZ,2,29233.36163,28553.80944,CCR,2016,3,0.22,6.64
64,ALTEZ,2,29233.36163,28553.80944,CCR,2017,4,0.22,6.27
65,ALTEZ,2,29233.36163,28553.80944,CCR,2017,4,0.22,6.42
66,ALTEZ,2,29233.36163,28553.80944,CCR,2016,3,0.22,6.34
