x,y,n
85,6,1
86,6,2
80,7,3
81,7,4
82,7,5
83,7,6
84,7,7
87,7,8
88,7,9
89,7,10
90,7,1
91,7,2
92,7,3
77,8,4
78,8,5
79,8,6
93,8,7
94,8,8
95,8,9
96,8,10
97,8,1
98,8,2
74,9,3
75,9,4
76,9,5
98,9,6
99,9,7
100,9,8
71,10,9
72,10,10
73,10,1
100,10,2
101,10,3
69,11,4
70,11,5
71,11,6
102,11,7
67,12,8
68,12,9
69,12,10
103,12,1
104,12,2
105,12,3
106,12,4
107,12,5
108,12,6
109,12,7
110,12,8
64,13,9
65,13,10
66,13,1
92,13,2
111,13,3
112,13,4
62,14,5
63,14,6
64,14,7
85,14,8
92,14,9
98,14,10
113,14,1
59,15,2
60,15,3
61,15,4
85,15,5
91,15,6
97,15,7
98,15,8
114,15,9
115,15,10
57,16,1
58,16,2
85,16,3
86,16,4
87,16,5
91,16,6
97,16,7
116,16,8
117,16,9
118,16,10
55,17,1
56,17,2
80,17,3
87,17,4
88,17,5
89,17,6
90,17,7
91,17,8
98,17,9
119,17,10
120,17,1
53,18,2
54,18,3
55,18,4
79,18,5
91,18,6
92,18,7
98,18,8
104,18,9
121,18,10
122,18,1
51,19,2
52,19,3
79,19,4
92,19,5
93,19,6
98,19,7
105,19,8
122,19,9
123,19,10
124,19,1
49,20,2
50,20,3
79,20,4
93,20,5
94,20,6
95,20,7
98,20,8
105,20,9
108,20,10
109,20,1
124,20,2
125,20,3
47,21,4
48,21,5
79,21,6
80,21,7
94,21,8
98,21,9
105,21,10
107,21,1
109,21,2
110,21,3
111,21,4
112,21,5
126,21,6
127,21,7
46,22,8
47,22,9
80,22,10
81,22,1
82,22,2
83,22,3
94,22,4
97,22,5
98,22,6
105,22,7
112,22,8
113,22,9
114,22,10
127,22,1
128,22,2
44,23,3
45,23,4
83,23,5
84,23,6
85,23,7
93,23,8
105,23,9
115,23,10
116,23,1
117,23,2
129,23,3
130,23,4
43,24,5
44,24,6
85,24,7
86,24,8
105,24,9
106,24,10
117,24,1
130,24,2
131,24,3
42,25,4
43,25,5
87,25,6
88,25,7
106,25,8
107,25,9
108,25,10
118,25,1
131,25,2
132,25,3
41,26,4
42,26,5
88,26,6
89,26,7
90,26,8
109,26,9
110,26,10
111,26,1
112,26,2
113,26,3
114,26,4
115,26,5
116,26,6
117,26,7
132,26,8
41,27,9
90,27,10
91,27,1
92,27,2
95,27,3
96,27,4
97,27,5
98,27,6
99,27,7
133,27,8
40,28,9
93,28,10
94,28,1
100,28,2
101,28,3
102,28,4
103,28,5
104,28,6
133,28,7
134,28,8
40,29,9
104,29,10
105,29,1
134,29,2
135,29,3
40,30,4
105,30,5
135,30,6
39,31,7
135,31,8
136,31,9
39,32,10
136,32,1
39,33,2
137,33,3
39,34,4
90,34,5
91,34,6
92,34,7
93,34,8
94,34,9
95,34,10
100,34,1
101,34,2
102,34,3
103,34,4
104,34,5
105,34,6
106,34,7
107,34,8
108,34,9
109,34,10
110,34,1
122,34,2
137,34,3
39,35,4
87,35,5
88,35,6
89,35,7
96,35,8
97,35,9
98,35,10
99,35,1
111,35,2
112,35,3
113,35,4
122,35,5
123,35,6
124,35,7
137,35,8
39,36,9
85,36,10
86,36,1
113,36,2
114,36,3
137,36,4
38,37,5
83,37,6
84,37,7
115,37,8
116,37,9
137,37,10
37,38,1
38,38,2
80,38,3
81,38,4
82,38,5
116,38,6
117,38,7
137,38,8
36,39,9
37,39,10
78,39,1
79,39,2
80,39,3
117,39,4
118,39,5
137,39,6
36,40,7
76,40,8
77,40,9
119,40,10
120,40,1
138,40,2
35,41,3
36,41,4
73,41,5
74,41,6
75,41,7
120,41,8
121,41,9
122,41,10
138,41,1
35,42,2
69,42,3
70,42,4
71,42,5
72,42,6
123,42,7
124,42,8
139,42,9
35,43,10
65,43,1
66,43,2
67,43,3
68,43,4
124,43,5
139,43,6
35,44,7
62,44,8
63,44,9
64,44,10
125,44,1
139,44,2
35,45,3
60,45,4
61,45,5
125,45,6
140,45,7
35,46,8
58,46,9
59,46,10
126,46,1
140,46,2
34,47,3
56,47,4
57,47,5
126,47,6
140,47,7
34,48,8
54,48,9
55,48,10
126,48,1
140,48,2
34,49,3
52,49,4
53,49,5
126,49,6
127,49,7
141,49,8
34,50,9
51,50,10
52,50,1
127,50,2
141,50,3
34,51,4
50,51,5
51,51,6
127,51,7
141,51,8
33,52,9
49,52,10
50,52,1
127,52,2
141,52,3
33,53,4
49,53,5
127,53,6
141,53,7
33,54,8
48,54,9
128,54,10
141,54,1
33,55,2
48,55,3
128,55,4
141,55,5
33,56,6
48,56,7
128,56,8
141,56,9
33,57,10
47,57,1
48,57,2
128,57,3
141,57,4
33,58,5
34,58,6
47,58,7
129,58,8
141,58,9
34,59,10
46,59,1
47,59,2
129,59,3
141,59,4
34,60,5
46,60,6
129,60,7
141,60,8
34,61,9
45,61,10
46,61,1
129,61,2
142,61,3
35,62,4
45,62,5
60,62,6
64,62,7
65,62,8
66,62,9
67,62,10
68,62,1
69,62,2
70,62,3
71,62,4
72,62,5
73,62,6
74,62,7
75,62,8
76,62,9
77,62,10
106,62,1
107,62,2
108,62,3
109,62,4
110,62,5
130,62,6
142,62,7
35,63,8
45,63,9
58,63,10
59,63,1
61,63,2
62,63,3
63,63,4
64,63,5
77,63,6
78,63,7
79,63,8
100,63,9
101,63,10
102,63,1
103,63,2
104,63,3
105,63,4
111,63,5
112,63,6
113,63,7
114,63,8
130,63,9
142,63,10
35,64,1
44,64,2
45,64,3
56,64,4
57,64,5
63,64,6
79,64,7
80,64,8
99,64,9
100,64,10
115,64,1
116,64,2
130,64,3
142,64,4
35,65,5
36,65,6
44,65,7
55,65,8
56,65,9
63,65,10
80,65,1
98,65,2
117,65,3
131,65,4
142,65,5
36,66,6
44,66,7
118,66,8
131,66,9
142,66,10
36,67,1
44,67,2
118,67,3
131,67,4
141,67,5
37,68,6
44,68,7
112,68,8
113,68,9
114,68,10
118,68,1
119,68,2
131,68,3
141,68,4
37,69,5
44,69,6
58,69,7
59,69,8
60,69,9
61,69,10
62,69,1
63,69,2
64,69,3
65,69,4
96,69,5
97,69,6
98,69,7
99,69,8
100,69,9
101,69,10
102,69,1
103,69,2
104,69,3
105,69,4
106,69,5
107,69,6
108,69,7
109,69,8
110,69,9
111,69,10
120,69,1
121,69,2
122,69,3
123,69,4
131,69,5
141,69,6
37,70,7
44,70,8
47,70,9
52,70,10
53,70,1
54,70,2
55,70,3
56,70,4
57,70,5
66,70,6
67,70,7
68,70,8
69,70,9
70,70,10
71,70,1
72,70,2
73,70,3
74,70,4
75,70,5
76,70,6
77,70,7
78,70,8
79,70,9
80,70,10
81,70,1
92,70,2
93,70,3
94,70,4
95,70,5
123,70,6
124,70,7
125,70,8
126,70,9
128,70,10
132,70,1
140,70,2
37,71,3
38,71,4
44,71,5
49,71,6
50,71,7
51,71,8
52,71,9
82,71,10
83,71,1
84,71,2
85,71,3
86,71,4
87,71,5
88,71,6
89,71,7
90,71,8
91,71,9
92,71,10
107,71,1
108,71,2
109,71,3
110,71,4
111,71,5
126,71,6
127,71,7
132,71,8
140,71,9
38,72,10
44,72,1
49,72,2
103,72,3
104,72,4
105,72,5
106,72,6
107,72,7
112,72,8
113,72,9
114,72,10
115,72,1
116,72,2
117,72,3
118,72,4
126,72,5
132,72,6
139,72,7
140,72,8
38,73,9
44,73,10
49,73,1
56,73,2
57,73,3
58,73,4
59,73,5
60,73,6
99,73,7
100,73,8
101,73,9
102,73,10
121,73,1
126,73,2
132,73,3
138,73,4
139,73,5
38,74,6
44,74,7
49,74,8
55,74,9
66,74,10
67,74,1
68,74,2
74,74,3
75,74,4
76,74,5
77,74,6
78,74,7
96,74,8
97,74,9
98,74,10
122,74,1
127,74,2
132,74,3
137,74,4
138,74,5
38,75,6
39,75,7
44,75,8
49,75,9
54,75,10
65,75,1
66,75,2
69,75,3
70,75,4
71,75,5
78,75,6
79,75,7
80,75,8
94,75,9
95,75,10
106,75,1
107,75,2
108,75,3
109,75,4
110,75,5
111,75,6
122,75,7
127,75,8
132,75,9
136,75,10
137,75,1
39,76,2
44,76,3
49,76,4
54,76,5
65,76,6
71,76,7
80,76,8
94,76,9
105,76,10
106,76,1
111,76,2
122,76,3
126,76,4
127,76,5
132,76,6
137,76,7
39,77,8
44,77,9
49,77,10
50,77,1
53,77,2
54,77,3
72,77,4
81,77,5
94,77,6
99,77,7
105,77,8
111,77,9
126,77,10
132,77,1
139,77,2
39,78,3
44,78,4
50,78,5
54,78,6
72,78,7
81,78,8
87,78,9
88,78,10
89,78,1
94,78,2
99,78,3
100,78,4
105,78,5
112,78,6
125,78,7
126,78,8
132,78,9
139,78,10
39,79,1
44,79,2
50,79,3
51,79,4
56,79,5
57,79,6
58,79,7
59,79,8
60,79,9
61,79,10
62,79,1
63,79,2
64,79,3
65,79,4
71,79,5
72,79,6
73,79,7
86,79,8
87,79,9
89,79,10
90,79,1
94,79,2
95,79,3
100,79,4
101,79,5
103,79,6
104,79,7
105,79,8
111,79,9
112,79,10
125,79,1
132,79,2
139,79,3
39,80,4
44,80,5
51,80,6
54,80,7
65,80,8
66,80,9
67,80,10
68,80,1
69,80,2
70,80,3
71,80,4
74,80,5
75,80,6
76,80,7
77,80,8
80,80,9
85,80,10
86,80,1
90,80,2
95,80,3
101,80,4
102,80,5
103,80,6
105,80,7
106,80,8
107,80,9
108,80,10
109,80,1
110,80,2
111,80,3
113,80,4
114,80,5
115,80,6
116,80,7
117,80,8
118,80,9
119,80,10
125,80,1
132,80,2
139,80,3
39,81,4
44,81,5
51,81,6
54,81,7
80,81,8
85,81,9
90,81,10
91,81,1
95,81,2
96,81,3
119,81,4
120,81,5
124,81,6
125,81,7
132,81,8
139,81,9
39,82,10
44,82,1
51,82,2
80,82,3
85,82,4
91,82,5
96,82,6
124,82,7
132,82,8
139,82,9
39,83,10
44,83,1
51,83,2
55,83,3
79,83,4
84,83,5
91,83,6
96,83,7
124,83,8
132,83,9
138,83,10
39,84,1
44,84,2
51,84,3
55,84,4
79,84,5
84,84,6
92,84,7
97,84,8
117,84,9
123,84,10
124,84,1
132,84,2
138,84,3
39,85,4
44,85,5
52,85,6
56,85,7
78,85,8
83,85,9
84,85,10
92,85,1
97,85,2
98,85,3
117,85,4
123,85,5
132,85,6
138,85,7
39,86,8
44,86,9
52,86,10
57,86,1
77,86,2
78,86,3
83,86,4
93,86,5
98,86,6
99,86,7
114,86,8
115,86,9
116,86,10
122,86,1
123,86,2
132,86,3
138,86,4
39,87,5
44,87,6
52,87,7
53,87,8
58,87,9
59,87,10
60,87,1
61,87,2
62,87,3
63,87,4
74,87,5
75,87,6
76,87,7
77,87,8
82,87,9
83,87,10
93,87,1
94,87,2
99,87,3
100,87,4
101,87,5
102,87,6
103,87,7
104,87,8
105,87,9
106,87,10
107,87,1
108,87,2
109,87,3
110,87,4
111,87,5
112,87,6
113,87,7
114,87,8
121,87,9
122,87,10
132,87,1
137,87,2
39,88,3
44,88,4
53,88,5
54,88,6
64,88,7
65,88,8
66,88,9
67,88,10
68,88,1
69,88,2
70,88,3
71,88,4
72,88,5
73,88,6
82,88,7
94,88,8
120,88,9
121,88,10
132,88,1
137,88,2
39,89,3
44,89,4
54,89,5
55,89,6
81,89,7
82,89,8
95,89,9
96,89,10
118,89,1
119,89,2
132,89,3
133,89,4
137,89,5
39,90,6
43,90,7
44,90,8
55,90,9
56,90,10
57,90,1
58,90,2
80,90,3
81,90,4
96,90,5
97,90,6
98,90,7
116,90,8
117,90,9
118,90,10
132,90,1
137,90,2
39,91,3
43,91,4
58,91,5
59,91,6
60,91,7
61,91,8
77,91,9
78,91,10
79,91,1
99,91,2
100,91,3
101,91,4
102,91,5
103,91,6
104,91,7
105,91,8
106,91,9
107,91,10
108,91,1
109,91,2
110,91,3
111,91,4
112,91,5
113,91,6
114,91,7
115,91,8
137,91,9
39,92,10
61,92,1
62,92,2
63,92,3
64,92,4
65,92,5
66,92,6
67,92,7
68,92,8
69,92,9
70,92,10
71,92,1
72,92,2
73,92,3
74,92,4
75,92,5
76,92,6
137,92,7
39,93,8
137,93,9
39,94,10
136,94,1
137,94,2
39,95,3
136,95,4
40,96,5
40,97,6
136,97,7
40,98,8
136,98,9
40,99,10
136,99,1
40,100,2
136,100,3
40,101,4
73,101,5
74,101,6
89,101,7
90,101,8
91,101,9
92,101,10
93,101,1
94,101,2
136,101,3
41,102,4
73,102,5
79,102,6
80,102,7
81,102,8
82,102,9
83,102,10
84,102,1
85,102,2
86,102,3
87,102,4
88,102,5
89,102,6
95,102,7
96,102,8
97,102,9
98,102,10
136,102,1
41,103,2
73,103,3
79,103,4
98,103,5
99,103,6
136,103,7
41,104,8
42,104,9
74,104,10
79,104,1
99,104,2
135,104,3
136,104,4
42,105,5
74,105,6
75,105,7
79,105,8
99,105,9
134,105,10
135,105,1
43,106,2
75,106,3
76,106,4
77,106,5
78,106,6
79,106,7
80,106,8
93,106,9
94,106,10
95,106,1
97,106,2
98,106,3
133,106,4
134,106,5
44,107,6
80,107,7
81,107,8
82,107,9
83,107,10
84,107,1
85,107,2
86,107,3
87,107,4
88,107,5
89,107,6
90,107,7
91,107,8
92,107,9
96,107,10
132,107,1
133,107,2
45,108,3
131,108,4
45,109,5
46,109,6
130,109,7
46,110,8
130,110,9
46,111,10
47,111,1
129,111,2
130,111,3
47,112,4
129,112,5
47,113,6
129,113,7
48,114,8
129,114,9
48,115,10
128,115,1
48,116,2
128,116,3
49,117,4
72,117,5
73,117,6
74,117,7
78,117,8
79,117,9
80,117,10
81,117,1
82,117,2
83,117,3
84,117,4
85,117,5
86,117,6
87,117,7
88,117,8
89,117,9
90,117,10
91,117,1
92,117,2
93,117,3
94,117,4
95,117,5
96,117,6
97,117,7
98,117,8
99,117,9
128,117,10
49,118,1
70,118,2
71,118,3
72,118,4
75,118,5
76,118,6
77,118,7
100,118,8
101,118,9
102,118,10
103,118,1
104,118,2
105,118,3
106,118,4
107,118,5
108,118,6
127,118,7
128,118,8
49,119,9
50,119,10
69,119,1
70,119,2
108,119,3
109,119,4
127,119,5
50,120,6
109,120,7
110,120,8
127,120,9
50,121,10
70,121,1
109,121,2
110,121,3
126,121,4
127,121,5
51,122,6
71,122,7
75,122,8
76,122,9
77,122,10
78,122,1
79,122,2
80,122,3
81,122,4
82,122,5
83,122,6
84,122,7
85,122,8
86,122,9
87,122,10
88,122,1
89,122,2
90,122,3
91,122,4
92,122,5
93,122,6
94,122,7
95,122,8
96,122,9
97,122,10
98,122,1
101,122,2
102,122,3
103,122,4
104,122,5
105,122,6
106,122,7
107,122,8
108,122,9
126,122,10
51,123,1
72,123,2
73,123,3
74,123,4
99,123,5
100,123,6
106,123,7
107,123,8
126,123,9
51,124,10
52,124,1
125,124,2
52,125,3
125,125,4
52,126,5
53,126,6
124,126,7
53,127,8
124,127,9
53,128,10
54,128,1
123,128,2
54,129,3
62,129,4
123,129,5
54,130,6
63,130,7
64,130,8
122,130,9
54,131,10
64,131,1
122,131,2
54,132,3
64,132,4
65,132,5
121,132,6
53,133,7
54,133,8
65,133,9
121,133,10
53,134,1
58,134,2
66,134,3
114,134,4
115,134,5
121,134,6
122,134,7
52,135,8
53,135,9
59,135,10
67,135,1
112,135,2
113,135,3
122,135,4
51,136,5
52,136,6
59,136,7
60,136,8
68,136,9
111,136,10
112,136,1
122,136,2
123,136,3
51,137,4
60,137,5
69,137,6
70,137,7
110,137,8
111,137,9
123,137,10
124,137,1
50,138,2
51,138,3
54,138,4
60,138,5
61,138,6
70,138,7
71,138,8
108,138,9
109,138,10
124,138,1
50,139,2
54,139,3
61,139,4
71,139,5
107,139,6
108,139,7
125,139,8
49,140,9
54,140,10
62,140,1
72,140,2
106,140,3
107,140,4
117,140,5
120,140,6
121,140,7
125,140,8
126,140,9
48,141,10
49,141,1
54,141,2
62,141,3
63,141,4
73,141,5
74,141,6
104,141,7
105,141,8
117,141,9
121,141,10
126,141,1
127,141,2
48,142,3
53,142,4
63,142,5
64,142,6
75,142,7
76,142,8
101,142,9
102,142,10
103,142,1
116,142,2
121,142,3
127,142,4
47,143,5
53,143,6
64,143,7
65,143,8
77,143,9
78,143,10
79,143,1
80,143,2
81,143,3
82,143,4
92,143,5
93,143,6
94,143,7
95,143,8
96,143,9
97,143,10
98,143,1
99,143,2
100,143,3
116,143,4
121,143,5
122,143,6
128,143,7
46,144,8
53,144,9
65,144,10
66,144,1
83,144,2
84,144,3
85,144,4
86,144,5
87,144,6
88,144,7
